EPIC PASS ROSTER,,"2024-25 blackout dates: 11/28-29 | 12/26-31 | 1/18 | 2/15-16
2025-26 blackout dates: TBD",,,,
,,"Days shared between: Vail/Beaver Creek/Whistler (Epic Local) | Park City/Crested Butte/Vail/Beaver Creek/Breckenridge/Keystone 
(Tahoe Local) | Fernie/Kicking Horse/Kimberley/Nakiska/Mont-Sainte Anne/Stoneham | Andermatt-Sedrun/Disentis | All Nagano 
ski areas",,,,
LOCATION,MOUNTAIN,"LIFT-
SERVED
VERTICAL
DROP 
(Feet)","LIFT-
SERVED
SKIABLE
ACRES","AVERAGE
ANNUAL
SNOWFALL 
(inches)",OWNER,"PASS ACCESS: U=unlimited acces | 3/5/7/10=3/5/7/10 days | 
B=blackouts apply | M=midweek access only | Sa=no Saturday 
access | C=must use days consecutively | 
Lo=lodging requirement | 25=valid summer 25 | S=shared 
dates | A=Access starting 4/1 only | NE=Northeast | L=Local 
Pass | V=Value Pass"
Australia,Falls Creek,"1,247","1,112",157,Vail Resorts,Epic U25
,Hotham,"1,296",605,118,Vail Resorts,Epic U25
,Perisher,"1,165","3,076",190,Vail Resorts,Epic U25
Canada - Alberta,Nakiska,"2,412","1,021",100,Resorts of the Canadian Rockies,Epic 7 | Day All 4+
Canada - British Columbia,Fernie,"3,550","2,500",360,Resorts of the Canadian Rockies,Epic 7 | Day All 4+
,Kicking Horse,"4,314","3,400",288,Resorts of the Canadian Rockies,Epic 7 | Day All 4+
,Kimberley,"2,465","1,800",156,Resorts of the Canadian Rockies,Epic 7 | Day All 4+
,Whistler,"5,280","8,171",404,Vail Resorts,Epic U | Local 10SB | Day All
Canada - Quebec,Mont-Sainte Anne,"2,050",547,209,Resorts of the Canadian Rockies,Epic 7 | Day All 4+
,Stoneham,"1,132",336,169,Resorts of the Canadian Rockies,Epic 7 | Day All 4+
Europe - Austria,Ski Arlberg,"5,056",304 km,355,Independent,Epic 3CLo
Europe - France,Les 3 Vallées,"6,988",600 km,N/A,Compagnie des Alps,Epic 7C
