ACTIVE U.S. SKI AREAS - 2024-25,,,,,,,,,,,
LOCATION,MOUNTAIN,"LIFT-
SERVED
VERTICAL
DROP 
(Feet)","LIFT-
SERVED
SKIABLE
ACRES","AVERAGE
ANNUAL
SNOWFALL 
(inches)",OWNER,"PASS 
AFFILIATIONS ","ANTICIPATE
OPERATING 
24/25?","OPERATED
23/24?","SURFACE
LIFTS
ONLY?","OPEN TO
PUBLIC?","SKIED 
(Admin 
use
only)"
,Gore,"2,537",439,150,New York State,,Yes,Yes,No,Yes,Yes
,Greek Peak,952,220,122,Independent,Indy,Yes,Yes,No,Yes,Yes
,Hickory,"1,200",225,N/A,Independent,Indy,Yes,Yes,Yes,Yes,Yes
,Holiday Mountain,400,37,90,Independent,,Yes,Yes,No,Yes,Yes
,Holiday Valley,750,290,180,Independent,,Yes,Yes,No,Yes,Yes
,Holimont,700,135,180,Independent,,Yes,Yes,No,Midweek,No
,Hunt Hollow,825,80,130,Independent,Indy,Yes,Yes,No,Midweek,Yes
,Hunter,"1,600",320,120,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Kissing Bridge,550,,182,Independent,,Yes,Yes,No,Yes,Yes
,Labrador,700,250,125,Peter Harris,,Yes,Yes,No,Yes,Yes
,Maple Ski Ridge,270,60,60,Independent,Indy,Yes,Yes,No,Yes,Yes
,McCauley,633,75,180,Independent,,Yes,Yes,No,Yes,Yes
,Mount Peter,450,60,50,Independent,,Yes,Yes,No,Yes,Yes
,Mount Pisgah,329,15,60,Independent,,Yes,Yes,Yes,Yes,No
,Newcomb,161,,N/A,Independent,,Yes,Yes,Yes,Yes,Yes
,Northampton,N/A,,N/A,Schoonover Family,,Yes,Yes,Yes,Yes,No
,Oak Mountain,650,100,101,Independent,,Yes,Yes,No,Yes,Yes
,Peek’n Peak,400,105,200,Independent,Indy,Yes,Yes,No,Yes,Yes
,Plattekill,"1,100",119,175,Independent,,Yes,Yes,No,Yes,Yes
,Powder Mills,N/A,,N/A,Schoonover Family,,Yes,Yes,Yes,Yes,No
,Ridin' Hy Ranch,100,10,98,Independent,,Yes,Yes,Yes,No,No
,Rocking Horse Ranch,150,10,30,Independent,,Yes,Yes,Yes,No,Summer
,Royal Mountain,550,40,90,Independent,,Yes,Yes,No,Yes,Yes
,Skaneateles,350,33,N/A,Independent,Indy Allied,Yes,Yes,Yes,Yes,No
,Ski Venture,100,,N/A,Independent,,Yes,Yes,Yes,No,No
,Snow Ridge,500,130,230,Independent,Indy,Yes,Yes,No,Yes,Yes
,Song Mountain,700,100,125,Peter Harris,,Yes,Yes,No,Yes,Yes
,Swain,650,130,120,Schoonover Family,Indy,Yes,Yes,No,Yes,Yes
,Thunder Ridge,600,100,60,Independent,,Yes,Yes,No,Yes,Yes
,Titus,"1,250",380,150,Independent,Indy,Yes,Yes,No,Yes,Yes
,Victor Constant,475,,39,Independent,,Yes,Yes,No,Yes,Yes
,Villa Roma,190,,N/A,Independent,,Yes,Yes,No,Yes,Yes
,West Mountain,"1,000",124,80,Independent,Indy,Yes,Yes,No,Yes,Yes
,Whiteface,"3,430",288,190,New York State,,Yes,Yes,No,Yes,Yes
,Willard,505,85,80,Independent,,Yes,Yes,No,Yes,Yes
,Windham,"1,600",285,100,Independent,Left Ikon,Yes,Yes,No,Yes,Yes
,Woods Valley,500,25,180,Independent,,Yes,Yes,No,Yes,Yes
U.S. - North Carolina,Appalchian Ski Mountain,365,27,27,Independent,,Yes,Yes,No,Yes,No
,Beech Mountain,831,95,84,Independent,,Yes,Yes,No,Yes,No
,Cataloochee,740,50,24,Independent,Indy,Yes,Yes,No,Yes,No
,Hatley Pointe,700,70,65,Independent,Indy,Yes,No,No,Yes,No
,Sapphire Valley,250,8,24,Independent,,Yes,Yes,No,Yes,No
,Sugar Mountain,"1,200",115,70,Independent,,Yes,Yes,No,Yes,No
U.S. - North Dakota,Bottineau Winter Park,200,40,18,Independent,Indy,Yes,Yes,No,Yes,No
,Frost Fire,350,30,35,Independent,,Yes,Yes,No,Yes,No
,Huff Hills,450,70,40,Independent,Indy,Yes,Yes,No,Yes,No
,Thrill Hills,290,30,35,Independent,,Yes,Yes,No,Yes,No
U.S. - Ohio,Alpine Valley,264,72,120,Vail Resorts,Epic,Yes,Yes,No,Yes,No
,Big Creek Ski Area,164,,N/A,Independent,,Yes,Yes,Yes,No,No
,Boston Mills,264,40,54,Vail Resorts,Epic,Yes,Yes,No,Yes,Summer
,Brandywine,240,40,54,Vail Resorts,Epic,Yes,Yes,No,Yes,Summer
,Mad River,300,144,36,Vail Resorts,Epic,Yes,Yes,No,Yes,No
,Snow Trails,300,80,52,Independent,,Yes,Yes,No,Yes,No
U.S. - Oregon,Anthony Lakes,900,"1,100",300,Independent,,Yes,Yes,No,Yes,No
,Cooper Spur,350,50,100,Drake Family,Indy,Yes,Yes,No,Yes,No
,Ferguson Ridge,640,170,300,Independent,,Yes,Yes,Yes,Yes,No
,Hoodoo,"1,035",806,350,Independent,Indy,Yes,Yes,No,Yes,Yes
,Mount Ashland,"1,150",240,300,Independent,Freedom,Yes,Yes,No,Yes,No
,Mount Bachelor,"3,365","4,323",462,Powdr,Ikon,Yes,Yes,No,Yes,Yes
,Mount Hood Meadows,"2,777","2,150",430,Drake Family,Indy,Yes,Yes,No,Yes,Yes
,Mount Hood Skibowl,"1,500",960,300,Independent,Powder Alliance,Yes,Yes,No,Yes,No
,Timberline Lodge (Inc. Summit),"4,540","1,685",540,Independent,Powder Alliance,Yes,Yes,No,Yes,Yes
,Warner Canyon,"1,080",200,50,Independent,,Yes,No,No,Yes,No
,Willamette Pass,"1,563",555,430,Mountain Capital Partners,Power,Yes,Yes,No,Yes,Yes
U.S. - Pennsylvania,Bear Creek,500,86,30,Independent,Indy,Yes,Yes,No,Yes,Yes
,Big Boulder,475,55,50,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Blue Knob,"1,073",100,120,Independent,Indy,Yes,Yes,No,Yes,Yes
,Blue Mountain PA,"1,140",164,33,KSL Resorts,Ikon,Yes,Yes,No,Yes,Yes
,Boyce Park,160,25,36,Independent,,Yes,Yes,No,Yes,Yes
,Camelback,850,160,50,KSL Resorts,Ikon,Yes,Yes,No,Yes,Yes
,Eagle Rock,550,,N/A,Independent,,Yes,Yes,No,No,No
,Elk Mountain,"1,000",140,65,Independent,,Yes,Yes,No,Yes,Yes
,Hidden Valley PA,470,110,140,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Jack Frost,600,100,50,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Laurel,761,70,41,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Liberty,620,100,31,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Locust Lake Village,150,,N/A,Independent,,Yes,Yes,Yes,No,No
,Montage,"1,000",140,47,Independent,Indy,Yes,Yes,No,Yes,Yes
,Mount Pleasant,320,35,150,Independent,,Yes,Yes,No,Yes,Yes
,Mystic Mountain (Nemacolin),600,27,31,Independent,,Yes,Yes,No,No,No
,Roundtop,600,103,30,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Saw Creek,N/A,,N/A,Independent,,Yes,Yes,No,No,No
,Seven Springs,754,285,135,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Shawnee Mountain,700,120,50,Independent,Indy,Yes,Yes,No,Yes,Yes
,Ski Big Bear,650,26,50,Independent,Indy,Yes,Yes,No,Yes,Yes
,Ski Sawmill,515,15,24,Independent,Indy,Yes,Yes,No,Yes,Yes
,Spring Mountain,449,45,27,Independent,,Yes,Yes,No,Yes,Yes
,The Hideout,131,,N/A,Independent,,Yes,Yes,No,No,No
,Tussey,520,38,41,Independent,Indy,Yes,Yes,No,Yes,Yes
,Whitetail,935,109,40,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
U.S. - Rhode Island,Yawgoo,240,36,39,Independent,Freedom,Yes,Yes,No,Yes,Yes
U.S. - South Dakota,Deer Mountain,800,200,150,Independent,,Yes,Yes,No,No,No
,Great Bear,190,20,49,Independent,Indy,Yes,Yes,No,Yes,No
,Terry Peak,"1,100",450,150,Independent,Indy,Yes,Yes,No,Yes,No
U.S. - Tennessee,Ober Mountain,600,38,35,Independent,Indy,Yes,Yes,No,Yes,Summer
U.S. - Utah,Alta,"2,538","2,614",540,Independent,"Ikon, Mountain Collective",Yes,Yes,No,Yes,Yes
,Beaver Mountain,"1,700",880,400,Independent,Indy,Yes,Yes,No,Yes,No
,Brian Head,"1,320",650,360,Mountain Capital Partners,Power,Yes,Yes,No,Yes,No
,Brighton,"1,745","1,050",500,Boyne Resorts,"Ikon, New England Pass",Yes,Yes,No,Yes,Yes
,Buckskin,80,10,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Cherry Peak,"1,265",400,320,Independent,"Indy Allied, Freedom",Yes,Yes,No,Yes,No
,Deer Valley,"3,040","2,342",300,Alterra ,Ikon,Yes,Yes,No,Yes,Yes
,Eagle Point,"1,500",650,350,Independent,Indy,Yes,Yes,No,Yes,No
,Gateway Spanish Forks,N/A,,N/A,Gateway,,Yes,Yes,Yes,Yes,No
,Nordic Valley,"1,695",450,300,Mountain Capital Partners,Power,Yes,Yes,No,Yes,Yes
,Park City,"3,226","7,300",355,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Powder Mountain,"1,995","5,000",360,Independent,,Yes,Yes,No,Yes,Yes
,Snowbasin,"3,149","3,000",300,Holding Family,"Ikon, Mountain Collective, Left Epic",Yes,Yes,No,Yes,Yes
,Snowbird,"3,240","2,500",500,Powdr,"Ikon, Mountain Collective",Yes,Yes,No,Yes,Yes
,Solitude,"2,041","1,200",500,Alterra ,Ikon,Yes,Yes,No,Yes,Yes
,Sundance,"2,150",450,300,Independent,,Yes,Yes,No,Yes,Yes
,Utah Olympic Park,N/A,,N/A,Independent,,Yes,Yes,No,No,No
,Wasatch Peaks Ranch,"2,300","3,000",400,Independent,,Yes,Yes,No,No,No
,Woodward Park City,349,,150,Powdr,,Yes,Yes,No,Yes,No
U.S. - Vermont,77 Winter Sports Park,90,,N/A,Independent,,Yes,Yes,Yes,No,No
,Ascutney,450,26,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Bellows Falls,200,,N/A,Independent,,Yes,No,Yes,Yes,No
,Bolton Valley,"1,701",300,300,Independent,"Indy, Uphill New England",Yes,Yes,No,Yes,Yes
,Brattleboro,204,8,N/A,Independent,,Yes,Yes,Yes,Yes,Yes
,Bromley,"1,334",178,145,Fairbank Group,Uphill New England,Yes,Yes,No,Yes,Yes
,Burke,"2,011",178,217,Independent,Indy,Yes,Yes,No,Yes,Yes
,Cochran’s,350,15,150,Independent,,Yes,Yes,Yes,Yes,No
,Hard'Ack,100,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Harrington Hill,160,,N/A,Independent,,Yes,Yes,Yes,No,Summer
,Hermitage Club,"1,400",200,N/A,Independent,,Yes,Yes,No,No,Yes
,Jay Peak,"2,153",385,349,Pacific Group Resorts,Indy,Yes,Yes,No,Yes,Yes
,Killington,"3,000","1,509",250,Phill Gross,"Ikon, Uphill New England",Yes,Yes,No,Yes,Yes
,Lyndon Outing Club,433,18,N/A,Independent,,Yes,No,Yes,Yes,No
,Mad River Glen,"2,037",115,250,Independent,,Yes,Yes,No,Yes,Yes
,Magic Mountain,"1,500",205,130,Independent,"Indy, Uphill New England",Yes,Yes,No,Yes,Yes
,Middlebury Snowbowl,"1,000",110,200,Independent,"Indy, Uphill New England",Yes,Yes,No,Yes,Yes
,Mount Snow,"1,700",601,150,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Northeast Slopes,360,,N/A,Independent,,Yes,Yes,Yes,Yes,Yes
,Okemo,"2,200",632,120,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Pico,"1,967",468,250,Phill Gross,"Ikon, Uphill New England",Yes,Yes,No,Yes,Yes
,Quechee,650,,N/A,Independent,,Yes,Yes,No,Yes,No
,Saskadena Six,650,100,90,Independent,Indy,Yes,Yes,No,Yes,Yes
,Smugglers' Notch,"2,610","1,000",288,Independent,,Yes,Yes,No,Yes,Yes
,Stowe,"2,360",485,314,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Stratton,"2,003",670,180,Alterra ,Ikon,Yes,Yes,No,Yes,Yes
,Sugarbush,"2,600",581,250,Alterra ,Ikon,Yes,Yes,No,Yes,Yes
,Vermont Tech,100,,N/A,Independent,,Yes,Yes,Yes,No,No
U.S. - Virginia,Bryce,500,50,30,Independent,Indy,Yes,Yes,No,Yes,Yes
,Homestead,700,45,50,Omni Hotels,,Yes,Yes,No,Yes,No
,Massanutten,"1,110",70,35,Independent,Indy,Yes,Yes,No,Yes,Yes
,Wintergreen,"1,003",129,40,Pacific Group Resorts,Indy,Yes,Yes,No,Yes,Yes
U.S. - Washington,49° North,"1,851","2,325",301,CMR Lands,Indy,Yes,Yes,No,Yes,Yes
,Badger Mountain,325,10,120,Independent,,Yes,Yes,Yes,Yes,No
,Bluewood,"1,125",355,300,Independent,Indy,Yes,Yes,No,Yes,No
,Crystal Mountain,"2,612","2,600",466,Alterra ,Ikon,Yes,Yes,No,Yes,Summer
,Echo Valley,900,70,100,Independent,,Yes,Yes,Yes,Yes,No
,Hurricane Ridge,800,250,400,Independent,Indy,Yes,Yes,Yes,Yes,No
,Leavenworth Ski Hill,200,17,150,Independent,,Yes,Yes,Yes,Yes,No
,Loup Loup,"1,240",550,150,Independent,Indy,Yes,Yes,No,Yes,No
,Meany Lodge,N/A,100,N/A,Independent,,Yes,Yes,Yes,No,No
,Mission Ridge,"2,250","2,000",200,Larry Scrivanich,"Indy, Powder Alliance",Yes,Yes,No,Yes,No
,Mt. Baker,"1,500","1,000",701,Independent,,Yes,Yes,No,Yes,No
,Mt. Spokane,"2,000","1,704",300,Independent,Freedom,Yes,Yes,No,Yes,Yes
,Sahalie Ski Club,N/A,80,N/A,Independent,,Yes,Yes,Yes,No,No
,Snoqualmie: Alpental,"2,280",875,428,Boyne Resorts,"Ikon, New England Pass",Yes,Yes,No,Yes,Yes
,Snoqualmie: Summit,"1,100","1,119",428,Boyne Resorts,"Ikon, New England Pass",Yes,Yes,No,Yes,Yes
,Stevens Pass,"1,800","1,125",460,Vail Resorts,Epic,Yes,Yes,No,Yes,Summer
,White Pass,"2,050","1,402",400,Independent,"Indy, Powder Alliance",Yes,Yes,No,Yes,No
U.S. - West Virginia,Canaan Valley,850,95,160,Independent,Indy,Yes,Yes,No,Yes,Yes
,Oglebay,168,,N/A,Independent,,Yes,Yes,No,Yes,No
,Silver Creek (Snowshoe),703,,180,Alterra ,Ikon,Yes,Yes,No,Yes,No
,Snowshoe/Western Territory,"1,500",257,180,Alterra ,Ikon,Yes,Yes,No,Yes,No
,Timberline,"1,000",100,200,Perfect Family,,Yes,Yes,No,Yes,Yes
,Winterplace,603,90,100,Independent,Indy,Yes,Yes,No,Yes,No
U.S. - Wisconsin,Alpine Valley,388,90,80,Wisconsin Resorts,,Yes,Yes,No,Yes,Yes
,Ausblick Ski Club,176,10,N/A,Independent,,Yes,Yes,No,No,No
,Blackhawk,300,,N/A,Independent,,Yes,Yes,No,No,No
,Bruce Mound,375,40,45,Independent,Indy,Yes,Yes,No,Yes,No
,Camp 10,250,120,60,Independent,,Yes,Yes,No,Yes,No
,Cascade,450,176,80,Independent,,Yes,Yes,No,Yes,No
,Christie Mountain,350,45,60,Independent,Indy,Yes,Yes,No,Yes,No
,Christmas Mountain Village,250,40,40,Independent,,Yes,Yes,No,Yes,No
,Crystal Ridge,225,30,40,Schmitz Brothers,"Indy, Freedom",Yes,Yes,No,Yes,No
,Devil’s Head,500,300,70,Independent,,Yes,Yes,No,Yes,No
,Fox Hill ,226,,N/A,Independent,,Yes,Yes,Yes,No,No
,Grand Geneva (Mountain Top),211,20,46,Independent,,Yes,Yes,No,Yes,Yes
,Granite Peak,700,155,75,Midwest Family Ski Resorts,Indy,Yes,Yes,No,Yes,Yes
,Heiliger Huegel Ski Club,200,20,N/A,Independent,,Yes,Yes,No,No,No
,Kettlebowl,325,,N/A,Independent,,Yes,Yes,No,Yes,No
,Keyes Peak,230,15,60,Independent,,Yes,Yes,Yes,Yes,No
,Little Switzerland,200,50,45,Schmitz Brothers,"Indy, Freedom",Yes,Yes,No,Yes,Yes
,Mont du Lac ,320,20,55,Independent,,Yes,Yes,No,Yes,Yes
,Mount Ashwabay,317,65,120,Independent,,Yes,Yes,No,Yes,No
,Mount La Crosse,516,100,30,Independent,,Yes,Yes,No,Yes,No
,Nordic Mountain,265,60,60,Schmitz Brothers,"Indy, Freedom",Yes,Yes,No,Yes,Yes
,Paul Bunyan,150,,65,Independent,Indy Allied,Yes,Yes,Yes,Yes,No
,Powers Bluff,250,,N/A,Independent,,Yes,Yes,No,Yes,No
,Standing Rocks Park,125,30,45,Independent,,Yes,Yes,No,Yes,No
,Sunburst,214,40,50,Independent,,Yes,Yes,No,Yes,No
,Sunset Hill (Forest Springs),N/A,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Triangle Sports Area,75,,N/A,Independent,,Yes,Yes,No,Yes,No
,Trollhaugen,260,86,50,Independent,Indy,Yes,Yes,No,Yes,Yes
,Tyrol Basin,300,40,41,Independent,Indy,Yes,Yes,No,Yes,No
,Whitecap Mountains,400,400,200,Independent,,Yes,Yes,No,Yes,Yes
,Whitetail Ridge,185,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Wilmot,194,120,48,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Winter Park (Keewaunee ),100,5,N/A,Independent,,Yes,Yes,Yes,Yes,No
U.S. - Wyoming,Antelope Butte,"1,000",225,200,Independent,Indy,Yes,Yes,No,Yes,No
,Beartooth Basin,"1,000",90,N/A,Independent,,Yes,No,Yes,Yes,No
,Grand Targhee,"2,270","2,602",500,Independent,Mountain Collective,Yes,Yes,No,Yes,No
,Hogadon Basin,600,60,140,Independent,,Yes,Yes,No,Yes,No
,Jackson Hole,"4,139","2,500",459,Independent,"Ikon, Mountain Collective",Yes,Yes,No,Yes,Yes
,Meadowlark,"1,000",300,160,Independent,Indy,Yes,Yes,No,Yes,No
,Pine Creek,"1,400",370,150,Independent,,Yes,Yes,No,Yes,No
,Snow King,"1,571",500,300,Independent,"Indy, Powder Alliance",Yes,Yes,No,Yes,No
,Snowy Range,865,250,245,Independent,,Yes,Yes,No,Yes,No
,White Pine,"1,100",370,150,Independent,Indy,Yes,Yes,No,Yes,No
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Yes,223
,,,,,,,,,,No,260
,,,,,,,,,,Summer,18
