ACTIVE U.S. SKI AREAS - 2024-25,,,,,,,,,,,
LOCATION,MOUNTAIN,"LIFT-
SERVED
VERTICAL
DROP 
(Feet)","LIFT-
SERVED
SKIABLE
ACRES","AVERAGE
ANNUAL
SNOWFALL 
(inches)",OWNER,"PASS 
AFFILIATIONS ","ANTICIPATE
OPERATING 
24/25?","OPERATED
23/24?","SURFACE
LIFTS
ONLY?","OPEN TO
PUBLIC?","SKIED 
(Admin 
use
only)"
,Purgatory,"2,029","1,635",260,Mountain Capital Partners,Power,Yes,Yes,No,Yes,No
,Silverton (unguided),"1,900","1,819",400,Independent,,Yes,Yes,No,Yes,No
,Ski Cooper,"1,200",480,260,Independent,"Powder Alliance, Freedom",Yes,Yes,No,Yes,No
,Snowmass,"4,406","3,342",300,Aspen Skiing Company,"Ikon, Mountain Collective",Yes,Yes,No,Yes,Yes
,Steamboat,"3,668","3,741",313,Alterra ,Ikon,Yes,Yes,No,Yes,Yes
,Sunlight,"2,010",730,250,Independent,"Indy, Freedom",Yes,Yes,No,Yes,No
,Telluride,"3,790","2,000",280,Independent,Epic,Yes,Yes,No,Yes,No
,Vail Mountain    ,"3,450","5,317",354,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Winter Park,"3,060","3,081",327,Alterra ,Ikon,Yes,Yes,No,Yes,Yes
,Wolf Creek,"1,604","1,600",430,Independent,,Yes,Yes,No,Yes,No
U.S. - Connecticut,Lakeridge,163,,N/A,Independent,,Yes,Yes,No,No,No
,Mohawk Mountain,650,107,92,Independent,Indy,Yes,Yes,No,Yes,Yes
,Mount Southington,425,51,80,Independent,Freedom,Yes,Yes,No,Yes,Yes
,Powder Ridge,550,80,38,Independent,,Yes,Yes,No,Yes,Yes
,Ski Sundown,625,65,45,Independent,,Yes,Yes,No,Yes,Yes
U.S. - Idaho,Bald Mountain,684,140,100,Independent,,Yes,Yes,Yes,Yes,No
,Bogus Basin,"1,800","2,600",250,Independent,"Powder Alliance, Freedom",Yes,Yes,No,Yes,No
,Brundage,"1,921","1,920",320,Independent,Indy,Yes,Yes,No,Yes,No
,Chipmunk Hills,301,30,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Cottonwood Butte,845,260,45,Independent,,Yes,Yes,Yes,Yes,No
,Gateway Parks: Eagle Island,N/A,,N/A,Gateway,,Yes,Yes,Yes,Yes,No
,Gateway Parks: Idaho Falls,N/A,,N/A,Gateway,,Yes,Yes,Yes,Yes,No
,Kelly Canyon,"1,000",640,200,Independent,Indy,Yes,Yes,No,Yes,No
,Little Ski Hill,405,50,180,Independent,,Yes,Yes,Yes,Yes,No
,Lookout Pass,"1,650","1,023",400,Independent,,Yes,Yes,No,Yes,No
,Magic Mountain,740,120,230,Independent,,Yes,Yes,No,Yes,Yes
,Pebble Creek,"2,200","1,100",225,Independent,,Yes,Yes,No,Yes,No
,Pomerelle,"1,000",500,500,Independent,Indy,Yes,Yes,No,Yes,No
,Rotarun,485,,100,Independent,,Yes,Yes,Yes,Yes,Yes
,Schweitzer,"2,400","2,900",300,Alterra ,Ikon,Yes,Yes,No,Yes,No
,Silver Mountain,"2,200","1,600",340,CMR Lands,"Indy, Powder Alliance",Yes,Yes,No,Yes,Yes
,Snowhaven,400,40,60,Independent,,Yes,Yes,Yes,Yes,No
,Soldier Mountain,"1,421","1,150",300,Independent,Indy,Yes,Yes,No,Yes,Yes
,Sun Valley: Bald ,"3,400","2,533",200,Holding Family,"Ikon, Mountain Collective, Left Epic",Yes,Yes,No,Yes,Yes
,Sun Valley: Dollar ,628,,N/A,Holding Family,"Ikon, Mountain Collective, Left Epic",Yes,Yes,No,Yes,Yes
,Tamarack,"2,800","1,100",300,Independent,Indy,Yes,Yes,No,Yes,No
U.S. - Illinois,Alpine Hills Adventure Park,N/A,,N/A,Independent,,Yes,Yes,Yes,Yes,Yes
,Chestnut,475,220,34,Independent,Indy,Yes,Yes,No,Yes,Yes
,Fourlakes,100,9,24,Independent,,Yes,Yes,Yes,Yes,No
,Snowstar,262,28,39,Independent,Indy,Yes,Yes,No,Yes,No
,Villa Olivia,180,15,25,Independent,,Yes,Yes,No,Yes,No
U.S. - Indiana,Paoli Peaks,300,65,18,Vail Resorts,Epic,Yes,Yes,No,Yes,No
,Perfect North,400,100,18,Perfect Family,,Yes,Yes,No,Yes,No
U.S. - Iowa,Crescent Hill at Hitchcock,300,50,30,Independent,,Yes,Yes,No,Yes,No
,Seven Oaks,240,35,40,Independent,Freedom,Yes,Yes,No,Yes,No
,Sundown,475,85,45,Independent,Indy,Yes,Yes,No,Yes,Yes
U.S. - Maine,Baker,460,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Big Moose,587,,136,Independent,"Indy, Uphill New England",Yes,Yes,No,Yes,No
,Bigrock,920,90,94,Independent,Indy,Yes,Yes,No,Yes,No
,Black Mountain of Maine,"1,150",300,120,Independent,"Indy, Uphill New England",Yes,Yes,No,Yes,Yes
,Camden Snow Bowl,850,105,50,Independent,"Indy, Uphill New England",Yes,Yes,No,Yes,No
,Caribou High School,85,,N/A,Independent,,Yes,Yes,Yes,No,No
,Hermon Mountain,256,60,90,Independent,,Yes,Yes,No,Yes,No
,Lonesome Pine,440,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Lost Valley,240,45,99,Independent,"Indy, Freedom",Yes,Yes,No,Yes,No
,Mount Abram,"1,150",170,115,Independent,"Indy, Uphill New England",Yes,Yes,No,Yes,No
,Mount Jefferson,432,160,75,Independent,,Yes,Yes,Yes,Yes,No
,O'Connor (Kent School),210,,N/A,Independent,,Yes,Yes,Yes,No,No
,Pinnacle,100,,N/A,Independent,,Yes,No,Yes,Yes,No
,Pleasant Mountain,"1,300",249,110,Boyne Resorts,New England Pass,Yes,Yes,No,Yes,Yes
,Powderhouse Hill,175,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Quarry Road,75,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Quoggy Joe,215,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Saddleback,"2,000",600,225,Independent,"Indy, Uphill New England",Yes,Yes,No,Yes,Yes
,Spruce Mountain,300,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Sugarloaf,"2,820","1,360",200,Boyne Resorts,"Ikon, Mountain Collective, New England Pass",Yes,Yes,No,Yes,Yes
,Sunday River,"2,350","1,184",167,Boyne Resorts,"Ikon, Mountain Collective, New England Pass",Yes,Yes,No,Yes,Yes
,Titcomb,350,45,85,Independent,,Yes,Yes,Yes,Yes,No
U.S. - Maryland,Wisp,700,132,100,Pacific Group Resorts,Indy,Yes,Yes,No,Yes,Yes
U.S. - Massachusetts,Berkshire East,"1,180",180,120,Schaefer Family,"Indy, Uphill New England",Yes,Yes,No,Yes,Yes
,Blue Hills,309,60,N/A,Independent,,Yes,Yes,No,Yes,Yes
,Bousquet,750,200,83,Independent,Indy,Yes,Yes,No,Yes,Yes
,Butternut,"1,000",110,110,Murdock Family,Freedom,Yes,Yes,No,Yes,Yes
,Catamount,"1,000",133,108,Schaefer Family,Indy,Yes,Yes,No,Yes,Yes
,Easton (Eaglebrook School),440,,N/A,Independent,,Yes,Yes,No,No,No
,Jiminy Peak,"1,150",167.4,100,Fairbank Group,"Ikon, Uphill New England",Yes,Yes,No,Yes,Yes
,Mt. Greylock Ski Club,350,,N/A,Independent,,Yes,Yes,Yes,No,No
,Nashoba Valley,240,59,50,Independent,,Yes,Yes,No,Yes,Yes
,Otis Ridge,400,70,70,Murdock Family,,Yes,Yes,No,Yes,Yes
,Ski Bradford,220,48,N/A,Independent,,Yes,Yes,No,Yes,Yes
,Ski Ward,220,45,80,Independent,,Yes,Yes,No,Yes,Yes
,Wachusett,"1,000",110,100,Independent,,Yes,Yes,No,Yes,Yes
U.S. - Michigan,Adventure Mountain (UP),134,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Alpine Valley,300,100,20,Wisconsin Resorts,,Yes,Yes,No,Yes,Yes
,Big Powderhorn (UP),622,253,214,Independent,Indy,Yes,Yes,No,Yes,Yes
,Big Valley (UP),75,5,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Bittersweet,350,100,90,Wisconsin Resorts,,Yes,Yes,No,Yes,Summer
,Boyne Mountain,500,435,140,Boyne Resorts,"Ikon, New England Pass",Yes,Yes,No,Yes,Yes
,Caberfae Peaks,485,200,140,Independent,"Indy, Freedom",Yes,Yes,No,Yes,Yes
,Cannonsburg,250,100,100,Independent,,Yes,Yes,No,Yes,Yes
,Challenge Mountain,370,,N/A,Independent,,Yes,Yes,Yes,No,No
,Covington (UP),115,,N/A,Independent,,Yes,No,Yes,Yes,No
,Crystal Mountain MI,375,103,132,Independent,Indy,Yes,Yes,No,Yes,Yes
,Crystella (UP),69,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Gladstone (UP) (J&M Bess),131,25,50,Independent,,Yes,Yes,Yes,Yes,No
,Hanson Hills,225,125,60,Independent,,Yes,Yes,Yes,Yes,Yes
,Hiawatha (Chatham) (UP),86,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Hickory Hills,237,125,60,Independent,,Yes,Yes,Yes,Yes,Summer
,Homestead,225,16,150,Independent,,Yes,Yes,No,Yes,Summer
,Marquette Mountain (UP),500,330,210,Independent,Indy,Yes,Yes,No,Yes,Yes
,Missaukee Mountain,500,25,90,Independent,,Yes,Yes,Yes,Yes,No
,Mont Ripley (UP),440,112,275,Independent,Indy Allied,Yes,Yes,No,Yes,Yes
,Mount Bohemia (UP),900,585,273,Independent,,Yes,Yes,No,Yes,Yes
,Mount Brighton,230,130,60,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Mount Holiday,180,45,120,Independent,Indy,Yes,Yes,No,Yes,Summer
,Mount Holly,350,100,42,Wisconsin Resorts,,Yes,Yes,No,Yes,Yes
,Mount McSauba,150,80,130,Independent,,Yes,Yes,Yes,Yes,No
,Mount Zion (UP),300,20,200,Independent,,Yes,Yes,No,Yes,Yes
,Mulligan’s Hollow,130,7,60,Independent,,Yes,Yes,Yes,Yes,Summer
,Norway Mountain,500,186,50,Independent,"Indy, Freedom",Yes,No,No,Yes,No
,Nub’s Nob,427,248,123,Independent,Indy,Yes,Yes,No,Yes,Yes
,Otsego,400,160,155,Independent,,Yes,Yes,No,Yes,Summer
,Pine Knob,300,80,60,Wisconsin Resorts,,Yes,Yes,No,Yes,Summer
,Pine Mountain (UP),500,80,60,Independent,Indy,Yes,Yes,No,Yes,No
,Porkies (UP),640,200,200,Independent,,Yes,Yes,No,Yes,Yes
,Sault Seal (UP),76,,N/A,Independent,,Yes,No,Yes,Yes,No
,Shanty Creek - Schuss,450,80,160,Independent,Indy,Yes,Yes,No,Yes,Yes
,Ski Brule (UP),500,150,150,Independent,,Yes,Yes,No,Yes,Yes
,Snow Snake,210,40,60,Independent,,Yes,Yes,No,Yes,Yes
,Snowriver: Black River (UP),490,170,204,Midwest Family Ski Resorts,Indy,Yes,Yes,No,Yes,No
,Snowriver: Jackson Creek (UP),538,230,204,Midwest Family Ski Resorts,Indy,Yes,Yes,No,Yes,Yes
,Swiss Valley,225,60,60,Perfect Family,Indy,Yes,Yes,No,Yes,No
,The Highlands ,552,435,140,Boyne Resorts,"Ikon, New England Pass",Yes,Yes,No,Yes,Yes
,Timber Ridge,150,50,80,Independent,,Yes,Yes,No,Yes,Summer
,Tower Mountain,100,,N/A,Independent,,Yes,No,Yes,Yes,Summer
,Treetops,225,80,150,Independent,Indy,Yes,Yes,No,Yes,Yes
U.S. - Minnesota,Afton Alps,350,300,60,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Andes Tower Hills,290,35,55,Independent,Indy,Yes,Yes,No,Yes,No
,Buck Hill,309,45,60,Independent,Ikon,Yes,Yes,No,Yes,Yes
,Buena Vista,230,30,78,Independent,,Yes,Yes,No,Yes,No
,Chester Bowl,175,6,100,Independent,,Yes,Yes,No,Yes,Yes
,Cloquet Nordic Ski Club,N/A,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Coffee Mill,425,40,48,Independent,,Yes,Yes,No,Yes,No
,Como,150,15,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Detroit Mountain,210,45,47,Independent,Indy,Yes,Yes,No,Yes,No
,Elm Creek,100,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Giants Ridge,500,202,62,Independent,,Yes,Yes,No,Yes,Yes
,Hyland Hills,185,35,60,Independent,,Yes,Yes,No,Yes,No
,Lutsen Mountains,825,393,120,Midwest Family Ski Resorts,Indy,Yes,Yes,No,Yes,Yes
,Mount Itasca,180,,N/A,Independent,,Yes,Yes,No,Yes,No
,Mount Kato,240,65,50,Independent,Indy,Yes,Yes,No,Yes,No
,Mount Ski Gull,230,55,50,Independent,,Yes,Yes,No,Yes,No
,Powder Ridge,300,60,45,Independent,Indy,Yes,Yes,No,Yes,No
,Spirit Mountain,700,174,100,Independent,Indy,Yes,Yes,No,Yes,Yes
,Steeplechase,240,45,N/A,Independent,Freedom,Yes,Yes,No,Yes,No
,Welch Village,360,140,45,Independent,,Yes,Yes,No,Yes,Yes
,Wild Mountain,300,100,50,Independent,Ikon,Yes,Yes,No,Yes,No
U.S. - Missouri,Hidden Valley,320,65,19,Vail Resorts,Epic,Yes,Yes,No,Yes,No
,Snow Creek,300,35,20,Vail Resorts,Epic,Yes,Yes,No,Yes,No
U.S. - Montana,Bear Canyon,590,,N/A,Independent,,Yes,Yes,Yes,No,No
,Bear Paw,900,80,140,Independent,,Yes,No,No,Yes,No
,Big Sky,"4,350","5,800",400,Boyne Resorts,"Ikon, Mountain Collective, New England Pass",Yes,Yes,No,Yes,Yes
,Blacktail,"1,440","1,000",250,Larry Scrivanich,"Indy, Powder Alliance",Yes,Yes,No,Yes,No
,Bridger Bowl,"2,700","2,000",300,Independent,,Yes,Yes,No,Yes,Yes
,Discovery,"2,388","2,200",215,Independent,,Yes,Yes,No,Yes,No
,Great Divide,"1,500","1,600",180,Independent,,Yes,Yes,No,Yes,Yes
,Lost Trail ,"1,800","1,800",325,Independent,"Indy, Powder Alliance",Yes,Yes,No,Yes,No
